datatime,device_no,is_error_period,MachineStatus,Power-1,Power-2,Power-3,Current-1,Current-2,Current-3
2026-3-14 15:16,YPFCL06XXXXXM01,0,1,0,88.19200564175844,-77.31263805,1.989990234,-1.035705566,3.764648438
2026-3-14 15:16,YPFCL06XXXXXM01,0,1,0,-4.302049056,227.64276759698987,3.2896728515625,0.537353516,6.357421875
2026-3-14 15:16,YPFCL06XXXXXM01,0,1,0,25.812294334173203,38.65631902590394,3.313476563,1.7940673828125,6.09375
2026-3-14 15:16,YPFCL06XXXXXM01,0,1,0,21.51024527847767,8.590293116867542,3.5181884765625,1.490722656,6.166992188
2026-3-14 15:16,YPFCL06XXXXXM01,0,1,0,23.66126980632544,-4.295146558,3.389648438,1.6033935546875,3.852539063
2026-3-14 15:16,YPFCL06XXXXXM01,0,1,0,12.9061471670866,-21.47573279,2.694580078,1.00103759765625,3.486328125
2026-3-14 15:16,YPFCL06XXXXXM01,0,1,0,15.057171694934368,-34.36117247,2.3470458984375,1.4473876953125,3.186035156
2026-3-14 15:16,YPFCL06XXXXXM01,0,1,0,17.208196222782135,-38.65631903,2.380371094,1.5513916015625,3.332519531
2026-3-14 15:16,YPFCL06XXXXXM01,0,1,0,15.057171694934368,-34.36117247,2.113769531,1.2393798828125,3.215332031
2026-3-14 15:16,YPFCL06XXXXXM01,0,1,0,17.208196222782135,-30.06602591,2.28515625,1.3087158203125,3.420410156
2026-3-14 15:16,YPFCL06XXXXXM01,0,1,0,15.057171694934368,-25.77087935,2.637451172,1.27838134765625,2.6953125
2026-3-14 15:16,YPFCL06XXXXXM01,0,1,0,-49.47356414,-133.1495433,2.761230469,0.4940185546875,4.548339844
2026-3-14 15:16,YPFCL06XXXXXM01,0,1,2.707092557102442,86.04098111391068,657.157423440367,3.894287109,-1.191711426,6.62109375
2026-3-14 15:16,YPFCL06XXXXXM01,0,1,2.707092557102442,-17.20819622,-313.5456988,3.5086669921875,-0.680358887,-2.87109375
2026-3-14 15:16,YPFCL06XXXXXM01,0,1,0,21.51024527847767,-21.47573279,3.5277099609375,1.55572509765625,4.262695313
